rupeevest_code,fund_name,amfi_code
37867,Sundaram LT Micro Cap Tax Adv Fund-Sr VI-Reg(G),
37922,Mahindra Manulife Small Cap Fund-Reg(G),
38073,Mahindra Manulife Large Cap Fund-Reg(G),
38076,Bank of India Midcap Tax Fund-Sr 1-Reg(G),
38080,Axis Large & Mid Cap,145111
38133,Groww ELSS Tax Saver Fund-Reg(G),
38212,Axis Flexi Cap Fund-Reg(G),
38242,HDFC Housing Opp Fund-Reg(G),
38291,SBI LT Advantage Fund-V-Reg(G),
38299,ICICI Pru LT Wealth Enhancement Fund(G),
38374,Sundaram LT Tax Adv Fund-Sr III-Reg(G),
38375,Edelweiss Recently Listed IPO Fund-Reg(G),
38444,Mahindra Manulife Mid Cap,142109
38749,Mahindra Manulife Consumption Fund-Reg(G),
38781,Shriram Flexi Cap Fund-Reg(G),
39122,Mirae Asset Healthcare,143785
39283,Tata Flexi Cap Fund-Reg(G),
39388,Sundaram LT Tax Adv Fund-Sr IV-Reg(G),
39401,Mirae Asset Equity Savings Fund-Reg(G),
39495,SBI LT Advantage Fund-VI-Reg(G),
39516,Navi Flexi Cap Fund-Reg(G),
39645,Franklin India Equity Savings Fund(G),
39956,LIC MF Value Fund-Reg(G),
39958,Bank of India Midcap Tax Fund-Sr 2-Reg(G),
40339,Invesco India Smallcap,145139
40559,Edelweiss Small Cap Fund-Reg(G),
40627,Union Equity Savings Fund-Reg(G),
41323,Bank of India Small Cap Fund-Reg(G),
41330,LIC MF Healthcare Fund-Reg(G),
41332,LIC MF Dividend Yield Fund-Reg(G),
41375,Aditya Birla SL Bal Bhavishya Yojna-Reg(G),
41505,Invesco India Equity Savings Fund-Reg(G),
41740,Union Value,145471
41744,Shriram ELSS Tax Saver Fund-Reg(G),
41946,ICICI Pru Bharat Consumption Fund-Reg(G),
41965,ICICI Pru MNC Fund(G),
41999,ICICI Pru Commodities Fund-Reg(G),
42140,ICICI Pru India Opp Fund(G),
42237,DSP Quant Fund-Reg(G),
42342,Bandhan Small Cap,147944
42350,Canara Robeco Small Cap,146127
42577,Parag Parikh ELSS Tax Saver Fund-Reg(G),
42701,HSBC Large & Mid Cap,146771
42783,Baroda BNP Paribas Equity Savings Fund-Reg(G),
42803,Motilal Oswal Large & Midcap Fund-Reg(G),
42805,ICICI Pru Quant Fund(G),
42898,Mirae Asset Focused,147203
43349,Mirae Asset Mid Cap,147479
43408,ITI Multi-Cap Fund-Reg(G),
43788,Aditya Birla SL PSU Equity Fund-Reg(G),
43844,Edelweiss Technology Fund-Reg(G),
43846,Union Multicap Fund-Reg(G),
43878,Quantum ESG Best In Class Strategy Fund-Reg(G),
43915,Mahindra Manulife Large & Mid Cap Fund-Reg(G),
43916,Baroda BNP Paribas ESG Best-in-class Strategy Fund-Reg(G),
43927,Kotak Pioneer,147724
43968,Kotak Focused,147477
44014,ITI ELSS Tax Saver Fund-Reg(G),
44087,ICICI Pru ESG Exclusionary Strategy Fund(G),
44146,ICICI Pru Business Cycle Fund(G),
44147,Kotak ESG Exclusionary Strategy Fund-Reg(G),
44148,Tata Focused Fund-Reg(G),
44222,Baroda BNP Paribas Large & Mid Cap Fund-Reg(G),
44293,DSP Value Fund-Reg(G),
44300,Union Large & Midcap Fund-Reg(G),
44313,Union MidCap,148071
44315,Axis Innovation Fund-Reg(G),
44329,Axis Quant Fund-Reg(G),
44397,Sundaram Large Cap,148504
44399,ITI Small Cap Fund-Reg(G),
44400,ITI Large Cap Fund-Reg(G),
44436,PGIM India Retirement Fund-Reg(G),
44495,Axis ESG Integration Strategy Fund-Reg(G),
44511,UTI Small Cap,148617
44736,Aditya Birla SL ESG Integration Strategy Fund-Reg(G),
44739,HSBC Focused Fund-Reg(G),
44987,Bank of India Flexi Cap Fund-Reg(G),
45058,Invesco India Focused,148483
45096,Aditya Birla SL Special Opp Fund-Reg(G),
45130,Quant ESG Integration Strategy Fund-Reg(G),
45141,Mahindra Manulife Focused Fund-Reg(G),
45174,Mirae Asset Banking and Financial Services,148621
45197,HDFC Dividend Yield,148560
45314,ITI Mid Cap Fund-Reg(G),
45335,Nippon India Flexi Cap Fund-Reg(G),
45336,Kotak Multicap Fund-Reg(G),
45348,Invesco India ESG Integration Strategy Fund-Reg(G),
45362,Axis Multicap Fund-Reg(G),
45373,Tata Business Cycle Fund-Reg(G),
45374,Tata Dividend Yield Fund-Reg(G),
45382,ITI Value Fund-Reg(G),
45476,Aditya Birla SL Multi-Cap Fund-Reg(G),
45480,Quant Quantamental Fund-Reg(G),
45492,ICICI Pru Flexicap Fund(G),
45510,Canara Robeco Focused,148884
45571,Bank of India Large Cap Fund-Reg(G),
45616,PGIM India Small Cap,149020
45670,Mahindra Manulife Flexi Cap Fund-Reg(G),
45685,UTI Focused Fund-Reg(G),
45686,Baroda BNP Paribas Business Cycle Fund-Reg(G),
45720,ITI Banking & Financial Services Fund-Reg(G),
45721,ITI Flexi Cap Fund-Reg(G),
45722,ITI Focused Fund-Reg(G),
45724,ITI Pharma & Healthcare Fund-Reg(G),
45727,Union Innovation & Opp Fund-Reg(G),
45733,Aditya Birla SL Business Cycle Fund-Reg(G),
45735,Union Retirement Fund-Reg(G),
45838,Axis Value,149167
45867,Bandhan Multi Cap Fund-Reg(G),
45868,Bandhan Midcap Fund-Reg(G),
45945,Invesco India Flexi Cap Fund-Reg(G),
45995,ICICI Pru Nifty Auto Index Fund-Reg(G),
46001,Canara Rob Mid Cap Fund-Reg(G),
46015,360 ONE Quant Fund-Reg(G),
46055,Edelweiss Focused Fund-Reg(G),
46058,NJ ELSS Tax Saver Scheme-Reg(G),
46064,Quant Value Fund-Reg(G),
46093,HDFC Multi Cap Fund-Reg(G),
46107,Kotak Manufacture in India Fund-Reg(G),
46115,Bank of India Multi Cap Fund-Reg(G),
46217,Samco Flexi Cap Fund-Reg(G),
46357,HDFC Consumption Fund-Reg(G),
46367,WOC Flexi Cap Fund-Reg(G),
46370,Canara Rob Multi Cap Fund-Reg(G),
46405,SBI Multicap Fund-Reg(G),
